
ORCL          ,CTXSYS              ,DR$FEATURE_USED                         ,26/04/17,         0,        18,TABLE
ORCL          ,GSMADMIN_INTERNAL   ,CHANGE_LOG_QUEUE_TABLE                  ,        ,         0,          ,TABLE
ORCL          ,GSMADMIN_INTERNAL   ,SYS_IOT_OVER_19751                      ,22/02/17,         0,         0,TABLE
ORCL          ,GSMADMIN_INTERNAL   ,AQ$_CHANGE_LOG_QUEUE_TABLE_L            ,22/02/17,         0,         0,TABLE
ORCL          ,GSMADMIN_INTERNAL   ,SERVICE_PREFERRED_AVAILABLE             ,22/02/17,         0,         0,TABLE
ORCL          ,GSMADMIN_INTERNAL   ,AQ$_CHANGE_LOG_QUEUE_TABLE_S            ,22/02/17,         0,         1,TABLE
ORCL          ,GSMADMIN_INTERNAL   ,GSM_REQUESTS                            ,22/02/17,         0,         0,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_FNE_0_ESTADO                     ,05/09/17,         0,        67,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_BRF_0_PRODUTO                    ,02/08/17,         3,     32375,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_REGIAO_GERENTE                ,24/07/17,         0,       101,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MERCADO_PRODUTO               ,24/07/17,         0,       223,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_CLASSE                        ,24/07/17,         0,       879,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_REMUNERACAO                ,26/06/17,         0,        36,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_BRF_0_EMPRESA                    ,02/08/17,         1,      6244,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_T_CLIENTE                        ,20/06/17,         0,         1,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CB_0_LOCALIZACAO                 ,30/05/17,         1,      5625,TABLE
ORCL          ,MERCADOGOV          ,TB_VIO_FNE_0_FENAE                      ,05/09/17,         0,         6,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_CB_TSE_EXTRATO_RECEITA           ,29/05/17,      1920,   3970406,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_D0_CLIENTE                   ,21/06/17,         2,     10655,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_CB_0_FLAT                        ,11/07/17,         0,         0,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_CB_SERVIDOR                      ,07/06/17,         7,     22265,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_0_COMISSAO                   ,03/07/17,         5,         0,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_REGIAO                        ,24/07/17,         0,        91,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MEDICO_REPRESENTANTE          ,24/07/17,         1,     19682,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_ADPF_0_DESPESA                   ,27/07/17,         0,        44,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_GRUPO_COMISSAO             ,21/06/17,         0,        27,TABLE
ORCL          ,MERCADOGOV          ,SQLN_EXPLAIN_PLAN                       ,20/06/17,         0,        37,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CB_0_EVENTO                      ,10/05/17,         0,         3,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_D1_CLIENTE                   ,21/06/17,         3,     10655,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_STATUS                    ,02/08/17,         5,    231034,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_F0_PEDIDO                    ,21/06/17,         0,       370,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CB_0_DOADOR                      ,06/06/17,       192,   1117604,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_ADPF_0_TRANSPARENCIA             ,27/07/17,       256,    458511,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_BRF_F0_LICITACAO                 ,02/08/17,       136,    231034,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_CLIENTE                    ,21/06/17,         0,      1341,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_D0_PONTUACAO                 ,27/06/17,         0,        84,TABLE
ORCL          ,MERCADOGOV          ,XXXX                                    ,02/08/17,        96,    231034,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_PRESCRICAO                    ,24/07/17,       136,   1711091,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MERCADO                       ,24/07/17,         0,        17,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MEDICO                        ,24/07/17,        43,    270896,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_CNF_F0_FALECIDO                  ,10/07/17,         6,     40052,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_CNF_FALECIDO                     ,10/07/17,         7,     40052,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_META                       ,29/06/17,         0,        12,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_PARCEIRO                   ,23/06/17,         0,         1,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_CB_F0_MOVIMENTO                  ,11/07/17,         0,         0,TABLE
ORCL          ,MERCADOGOV          ,MGOV_ORGAO                              ,02/08/17,         7,     27787,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_2RL_0_LOG_COMPLETA               ,03/07/17,         0,        95,TABLE
ORCL          ,MERCADOGOV          ,TB_VIO_FED_0_MOVIMENTO                  ,06/06/17,         0,        23,TABLE
ORCL          ,MERCADOGOV          ,TB_FAT_CB_0_MOVIMENTO_AGR               ,11/07/17,         0,         0,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MEDICO_CATEGORIA              ,24/07/17,        72,   1304972,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_ESPECIALIDADE                 ,24/07/17,         0,        31,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_CONCENTRACAO                  ,24/07/17,         0,       610,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CNF_0_FALECIDO                   ,10/07/17,         4,     39871,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CNF_0_LOCAL                      ,10/07/17,         0,         4,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_T_PONTUACAO                      ,26/06/17,         0,        40,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_BRASIL_0_TEMPO                   ,05/09/17,         7,     46387,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CB_0_CARGO                       ,30/05/17,         0,        10,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CB_0_PARTIDO                     ,29/05/17,         0,        36,TABLE
ORCL          ,MERCADOGOV          ,TB_VIO_ADPF_0_ORCAMENTO                 ,27/07/17,         0,         0,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_T_CERTIFICACAO                   ,22/06/17,         0,        10,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_F0_LOG_COMPLETA              ,26/06/17,         0,        54,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_PERIODO                       ,24/07/17,         0,         5,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_TRANSPARENCIA_PAGAMENTO          ,20/08/17,      1016,   1836528,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_SERVICO                    ,21/06/17,         0,       100,TABLE
ORCL          ,MERCADOGOV          ,TB_CRT_MASTER_DATA_CONTROL              ,21/06/17,         0,         1,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_T_PARCEIRO                       ,23/06/17,         0,         1,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_ORGAO                     ,17/08/17,         0,         0,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CB_0_CANDIDATO                   ,06/06/17,        53,    476779,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_FNE_0_FUNCIONARIO                ,06/09/17,        51,    135819,TABLE
ORCL          ,MERCADOGOV          ,MGOV_LICITACAO                          ,02/08/17,       136,    231034,TABLE
ORCL          ,MERCADOGOV          ,TB_VIO_2RL_0_COMISSAO                   ,21/06/17,         0,        10,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_FNE_0_LOTACAO                    ,05/09/17,         0,      4592,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_UP_PROCESSO                      ,24/07/17,         0,         4,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MOLECULA_PRODUTO              ,24/07/17,         0,       270,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MOLECULA                      ,24/07/17,         0,      3548,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_ADPF_0_PROGRAMA                  ,27/07/17,         0,       109,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CNF_0_FUNERARIA                  ,10/07/17,         0,       134,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_T_REMUNERACAO                    ,22/06/17,         0,        32,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_BRF_0_ORGAO                      ,02/08/17,         7,     27787,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_FNE_0_CADASTRO_CEF               ,05/09/17,        50,    136251,TABLE
ORCL          ,MERCADOGOV          ,TB_VIO_BRF_0_LICITACAO                  ,02/08/17,         0,         0,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_T_META                           ,03/07/17,         0,         5,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_PRODUTO                       ,24/07/17,         0,       270,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MERCADO_MEDICO                ,24/07/17,        15,    430150,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MARCA                         ,24/07/17,         0,       139,TABLE

ORCL          ,MERCADOGOV          ,TB_AUX_UP_LABORATORIO                   ,24/07/17,         0,       336,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_ADPF_0_FAVORECIDO                ,27/07/17,        12,    120771,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_ADPF_0_FUNCAO                    ,27/07/17,         0,       152,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_0_COMISSAO_EXT               ,15/06/17,         0,         6,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_0_TEMPO                          ,15/05/17,         6,       731,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_BRF_0_STATUS                     ,02/08/17,         0,        12,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_FNE_0_PLANO_FUNCEF               ,05/09/17,         0,         8,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_MEDICO_VISITADO               ,24/07/17,         0,     18572,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_FORMA                         ,24/07/17,         0,        86,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_UP_CORPORACAO                    ,24/07/17,         0,       336,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_ADPF_0_ORGAO                     ,27/07/17,         0,      1664,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_CNF_0_PROFISSAO                  ,10/07/17,         0,       147,TABLE
ORCL          ,MERCADOGOV          ,MGOV_EMPRESA                            ,02/08/17,         7,      6242,TABLE

ORCL          ,MERCADOGOV          ,TB_DIM_FED_0_CIDADAO                    ,05/06/17,         5,     14575,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_SEGMENTACAO                ,21/06/17,         0,         2,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_MASTER_CONTROL                   ,19/06/17,         0,         2,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_0_COMISSAO_INT               ,16/06/17,         0,         6,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_EMPRESA                   ,02/08/17,         1,      6244,TABLE
ORCL          ,MERCADOGOV          ,TB_VIO_2RL_0_PREV_FINANCA               ,29/06/17,         0,       376,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_2RL_0_PEDIDO                     ,02/06/17,         1,       370,TABLE
ORCL          ,MERCADOGOV          ,TB_DIM_2RL_0_PONTUACAO                  ,27/06/17,         0,       112,TABLE
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_PRODUTO                   ,02/08/17,         7,     82112,TABLE
ORCL          ,OUTLN               ,OL$HINTS                                ,22/02/17,         0,         0,TABLE
ORCL          ,OUTLN               ,OL$                                     ,22/02/17,         0,         0,TABLE
ORCL          ,OUTLN               ,OL$NODES                                ,22/02/17,         0,         0,TABLE
ORCL          ,RDSADMIN            ,RDS_CONFIGURATION                       ,26/04/17,         0,         2,TABLE

ORCL          ,XDB                 ,XDB$PATH_INDEX_PARAMS                   ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$COLUMN_INFO                         ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$CDBPORTS                            ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB_INDEX_DDL_CACHE                     ,26/04/17,         0,         0,TABLE
ORCL          ,XDB                 ,X$NM293OL6682660IE0KTA49O0LEWJ          ,22/02/17,         0,        27,TABLE
ORCL          ,XDB                 ,XDB$XTABNMSP                            ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$XIDX_PARAM_T                        ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$CHECKOUTS                           ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$TTSET                               ,22/02/17,         0,         1,TABLE
ORCL          ,XDB                 ,JSON$COLLECTION_METADATA                ,26/04/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$REPOS                               ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$XTAB                                ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$ROOT_INFO                           ,22/02/17,         0,         1,TABLE

ORCL          ,XDB                 ,XDB$MOUNTS                              ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$D_LINK                              ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,X$QN293OL6682660IE0KTA49O0LEWJ          ,22/02/17,         0,       696,TABLE
ORCL          ,XDB                 ,XDB$H_INDEX                             ,22/02/17,         0,        31,TABLE
ORCL          ,XDB                 ,XDB$XIDX_PART_TAB                       ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$DBFS_VIRTUAL_FOLDER                 ,22/02/17,         0,         1,TABLE
ORCL          ,XDB                 ,X$PT293OL6682660IE0KTA49O0LEWJ          ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$IMPORT_TT_INFO                      ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$XTABCOLS                            ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,APP_USERS_AND_ROLES                     ,22/02/17,         0,         1,TABLE
ORCL          ,XDB                 ,APP_ROLE_MEMBERSHIP                     ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$DXPTAB                              ,22/02/17,         0,         0,TABLE
ORCL          ,XDB                 ,XDB$XDB_READY                           ,26/04/17,         0,         1,TABLE

ORCL          ,XDB                 ,MIGR9202STATUS                          ,26/04/17,         0,         1,TABLE
ORCL          ,XDB                 ,XDB$NONCEKEY                            ,22/02/17,         0,         1,TABLE
